program_name,source_file,category,course_name,course_ids,credits,note,year1_fall,year1_spring,year2_fall,year2_spring,year3_fall,year3_spring,year4_fall,year4_spring
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,,國文,[],5.0,,5.0,,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,,外文,[],3.0,,3.0,3.0,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,共同,體育課程,[],0.0,,0.0,0.0,0.0,0.0,0.0,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,必修,服務學習課程,[],0.0,,0.0,0.0,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,必修,通識課程(含核心必修、選修科目),[],14.0,,14.0,,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,國學導讀,"['CL1003', 'CL1004']",2.0,,2.0,2.0,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,文學概論,"['CL1005', 'CL1006']",2.0,,2.0,2.0,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,古籍閱讀,"['CL1025', 'CL1026']",1.0,,1.0,1.0,,,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,歷代文選及習作,"['CL2001', 'CL2002']",3.0,,,,3.0,3.0,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,中國文學史,"['CL2005', 'CL2006']",3.0,,,,3.0,3.0,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,文字學,"['CL2003', 'CL2004']",2.0,,,,2.0,2.0,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,詩選及習作,"['CL2007', 'CL2008']",2.0,,,,2.0,2.0,,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,中國思想史,"['CL4003', 'CL4004']",,,,,,,3.0,3.0,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,詞選及習作,['CL2090'],,,,,,,3.0,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,聲韻學,['CL3161'],,,,,,,3.0,,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,訓詁學,['CL4104'],,,,,,,,3.0,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,曲選及習作,['CL3160'],,,,,,,,3.0,,
中國文學系【1140924條訂版】,中國文學系【1140924條訂版】_table_1.csv,系訂 必修,一、共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本系新生外文課程可從三種外文課程中任選一種：(1) 「大一英文」人文社會課群6學 分；(2)英文系開設之其他英文課程6學分；(3)語言中心開設或認定之初級第二外語課 程，但同一外語課程必須連續修滿6學分。 3 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4 通識核心必修四大領域中至少須修習一個領域。 二、系訂必修 1 必修科目計73學分，其中系必修48學分，畢業須修滿128學分。 2 中文系學生，在校四年至少選修並通過本系選修科目32學分。 3 本系學生畢業前須點畢二部古籍，相關規定依本系「大學生點書辦法」辦理。 三、雙主修規定 1 依本校「學生修讀雙主修辦法」辦理。 2 雙主修學生畢業前須點畢一部古籍，相關規定依本系「大學生點書辦法」辦理。,[],,備註,,,,,,,,
企業管理學系,企業管理學系_table_1.csv,共同 必修,國文,[],5.0,,5.0,,,,,,,
企業管理學系,企業管理學系_table_1.csv,共同 必修,外文,[],3.0,,3.0,3.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,共同 必修,體育課程,[],0.0,,0.0,0.0,0.0,0.0,0.0,,,
企業管理學系,企業管理學系_table_1.csv,共同 必修,服務學習課程,[],0.0,,0.0,0.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,共同 必修,通識課程(含核心必修、選修科目),[],14.0,,14.0,,,,,,,
企業管理學系,企業管理學系_table_1.csv,院訂 必修,經濟學,"['MT1011', 'MT1012']",3.0,,3.0,3.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,院訂 必修,企業概論,['MT1021'],3.0,,3.0,,,,,,,
企業管理學系,企業管理學系_table_1.csv,院訂 必修,會計學,"['MT1031', 'MT1032']",3.0,,3.0,3.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,院訂 必修,統計學,"['MT2041', 'MT2042']",3.0,,,,3.0,3.0,,,,
企業管理學系,企業管理學系_table_1.csv,院訂 必修,程式設計：Python,['MT1051'],3.0,,3.0,,,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,微積分,"['MA1005', 'MA1006']",3.0,,3.0,3.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,管理學,['BA1003'],3.0,,,3.0,,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,財務管理,['BA2000'],3.0,,,,3.0,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,行銷管理,['BA2030'],3.0,,,,3.0,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,管理數學,['BA2004'],3.0,,,,3.0,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,組織行為,['BA2015'],3.0,,,,3.0,,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,作業研究,['BA2014'],3.0,,,,,3.0,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,人力資源管理,['BA3005'],3.0,,,,,3.0,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,資訊管理,['BA3004'],3.0,,,,,3.0,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,生產與作業管理,['BA3001'],3.0,,,,,3.0,,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,民法概要,['BA3000'],,,,,,,3.0,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,成本會計,['BA2016'],,,,,,,3.0,,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,商事法,['BA3003'],,,,,,,,3.0,,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,企業政策,['BA4000'],,,,,,,,,3.0,
企業管理學系,企業管理學系_table_1.csv,系訂 必修,企管專題,['BA4086'],,,,,,,,,,3.0
