科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
,國文,5,,,,,,,
,外文,3,3,,,,,,
共同 必修,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程(含核心必修、選修科目),14,,,,,,,
院訂 必修,微積分 MA1003 / MA1004,3,3,,,,,,
,工程程式設計 EG1001,3,,,,,,,
,普通物理A PH1035,3,,,,,,,
系訂 必修,土木工程概論 CI1002,1,,,,,,,
,測量學 CI1009,3,,,,,,,
,測量實習 CI1010,1,,,,,,,
,普物實驗 PH1023,1,,,,,,,
,應用力學 CI1005,,3,,,,,,
,工程材料學 CI2005,,3,,,,,,
,工程數學 I / II CI2017 / CI2018,,,3,3,,,,
,材料力學 CI2004,,,3,,,,,
,流體力學 CI2011,,,3,,,,,
,結構學 I CI2019,,,,3,,,,
,土木工程實驗 I / II CI3036 / CI3037,,,,2,2,,,
,土壤力學 I CI3003,,,,3,,,,
,工程統計學 EG2001,,,,3,,,,
,鋼筋混凝土學 CI3005,,,,,3,,,
,基礎工程 CI3010,,,,,3,,,
,工程圖學 CI2007,,,,,,1,,
,土木實務專題 CI4103,,,,,,,3,
,*運輸工程 CI3011,,,,,3,,,
,*水文學 CI3030,,,,,3,,,
,*工程地質學 CI3040,,,,,3,,,
,*營建管理 CI4010,,,,,3,,,
,*環境工程 CI2020,,,,,3,,,
備註,一、共同必修 1共同科目修習及其他畢業條件，請見應修科目表注意事項。 2本系外文課程可自下列任選一種修課方式： (1)英文系開設之其他英文課程，通過且取得6學分。 (2)語言中心開設或認定之第二外語課程，但同一外語課程必須修讀並通過取得6學分。 (3)「大一英文」工程課群6學分。 3選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4通識核心必修四大領域中至少須修習一個領域。 二、院、系訂必修 1必修科目計90，最低畢業學分：128，具〝*〞之課程須至少選2門修課及格始得畢業。 2選修學分中，須選取本系(含工學院EG課號課程)開授選修課程21學分(含)以上。 3必須修習至少兩科設計課程始得畢業，其中設計課程之課號為CI3012、CI3028、CI3056、CI4024、CI4038、CI4040、CI4041、 CI4060、CI4109、CI6065、CI6069、CI6097、CI7036、CI7037、CI7089、CI7090。 4通過並取得EG3004課程3學分，可抵修系訂必修 CI4103課程3學分。 5 必修科目 先修科目 (1)CI 2004材料力學 「CI 1008應用力學」 成績達50分（含）以上者 (2)CI 2019結構學I 「CI 2004材料力學」 成績達50分（含）以上者 (3)CI 2017工程數學I、CI 2018工程數學 II 「MA 1004微積分」 成績達50 分(含)以上者 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,
