科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,上
共同 必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
院訂 必修,微積分 MA1003/MA1004,,3,3,,,,,,
,普通物理A PH1031/PH1032,,3,3,,,,,,
系訂 必修,程式語言與應用 GP1017,,2,,,,,,,
,普通地質學 GP2031 / GP2032,,2,2,,,,,,
,地球科學通論 GP1019,,1,,,,,,,
,地球科學的挑戰與機會GP1020,,,1,,,,,,
,應用數學 GP2019 / GP2020,,,,3,3,,,,
,礦物學 GP2038,,,,2,,,,,
,地質材料力學 GP2059,,,,,2,,,,
,岩石學 GP2065,,,,,2,,,,
,沉積地質學 GP3087,,,,2,,,,,
,地震學 GP3026,,,,,,3,,,
,地球物理探勘學 GP3011 / GP3012,,,,,,3,3,,
,地球物理學GP3034,,,,,,,3,,
,地球物理探勘實習 GP3019 / GP3020,,,,,,1,1,,
,構造地質學 GP3024,,,,,,,3,,
,地球系統科學概論 GP1010,,2,,,,,,,
系訂 核心 必選,台灣地質 GP4031或GP3083,,,,,,,,2,
,地球科學專題I GP4087或GP4089,,1,,,,,,,
,地球科學專題II GP4088或GP4090,,1,,,,,,,
系訂 核心 選修 (至少7學 分),分析數學與 物理 (六擇一),時序分析 GP3052,,,,,3,,,
,,數值分析 GP3053,,,,,,3,,
,,統計學 GP3072,,,,,,3,,
,,地球科學資料處理GP4024,,,,,,3,,
,,力學 GP2002,,,3,,,,,
,,電磁學 GP2014,,,,3,,,,
,地質 (七擇一),野外地質學 GP3014,,,,,,2,,
,,地形學 GP5068,,,,,2,,,
,,層序地層學 GP7048,,,,,,2,,
,,工程地質學 GP4065,,,,,3,,,
,,地下水及土壤污染控制 GP4008,,,,,3,,,
,,基礎大地工程學 GP3085,,,,,,3,,
,,水文地質學 GP4010,,,,,,2,,
,水文與海洋 (三擇一),海洋學概論 HS6063,,,,,,3,,
,,流體力學概論 GP3096,,,,,,2,,
,,水文學 GP4070,,,,,,3,,
備註,一、共同必修 1. 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2. 本系新生外文課程可從三種外文課程中任選一種。 (1)修讀「大一英文」科學課群6學分。 (2)修讀英文系開設之其他英文課程，通過且取得6學分。 (3)修讀語言中心開設或認定之第二外語課程，但同一外語課程必須修讀並通過取得6學分。 3. 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4. 通識核心必修四大領域中至少須修習一個領域。 二、系訂必修、系訂核心必選、系訂核心選修： 1.最低畢業學分為128學分：包括必修科目78學分、系訂核心必選、系訂核心選修(分析數學與物理、地 質、水文與海洋)各需一門並通過至少7 學分。另選修並通過本系(課號GP)科目10學分。 2. 除第1項規定外，修業期間內並通過下列三者之一： (1) 地球科學資訊學分學程15學分 (2) 氣候與環境變遷學分學程18學分 (3) 地科院或理、工、資電學院、生醫理工學院、遙測學程開設之課程16學分 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,,
