地球科學學院 院學士班 (114學年度入學新生適用),,,,,,,,,
科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
共同 必修,國文,5,,,,,,,
,外文,3,3,,,,,,
,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程(含核心必修、選修科目),14,,,,,,,
院訂 必修,微積分 MA1003/MA1004,3,3,,,,,,
,普通物理A PH1031/PH1032,3,3,,,,,,
科學 能力 必修 課群,數學課程,25,,,,,,,
,電腦與程式語言課程,,,,,,,,
,物理與化學課程,,,,,,,,
地球 系統 必修 課群,普通地質學 GP2031/GP2032,2,2,,,,,,
,大氣科學通論 AP1002,1,,,,,,,
,大氣科學概論 AP1001,,1,,,,,,
,大氣熱力學 AP2011,,,,3,,,,
,電漿物理導論 SS3002,,,,,3,,,
,衛星系統工程 I SS3008,,,,,3,,,
,水文地質學 GP4010,,,2,,,,,
,地球水循環 GP3086,,,3,,,,,
,基礎大地工程學 GP3085,,,,,,3,,
,海洋學概論 HS6063,,,3,,,,,
跨域 知識 技能 課群,地球系統科學研究專題導論 GA1001,1,,,,,,,
,地球科學研究群專題課程,,2,,,,,,
,研究計畫寫作GA2002,,,,1,,,,
,專題研究I/II/III/IV GA3001/GA3002/GA4001/GA4002,,,,,2,2,2,2
備註,一、共同必修 1. 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2. 本班新生外文課程可從三種外文課程中任選一種。 (1)修讀「大一英文」科學課群6學分。 (2)修讀英文系開設之其他英文課程，通過且取得6學分。 (3)修讀語言中心開設或認定之第二外語課程，但同一外語課程必須修讀並通過取得6學分。 3. 選修「進修英文」取得之學分，不列入本班之畢業學分總數。 4. 通識核心必修四大領域中至少須修習一個領域。 5. 通識課程必須修習並通過「跨領域社會參與學分學程-導航課程」(GS3050或CC0424)，並至少選修「邏輯思考」或「論文寫作」一門相關之 課程。 二、系定必修 1. 最低畢業學分為 128 學分，包括院訂必修 12 學分、科學能力必修課群任選 25 學分、地球系統必修課群任選 16 學分、跨域知識技能課群 50 學分 (含必修 10 學分及其他選修 40 學分)。 2. 除第1項規定外，修業期間內必須選修並通過「地球系統科學概論」2 學分，課群分為「科學能力必修」、「地球系統必修」、「跨域知識技 能」，由導師指導選課。 3. 「專題研究I/II/III/IV GA3001/GA3002/GA4001/GA4002」中須任選三門修習並通過。 4. 各類課程之建議參考課號請參看附表一。 5. 「科學能力必修課群」之各類課程至少各修習一門，未列於應修科目表附表一之科學能力課程可由學生提出申請，經指導導師及班主任同意 後認可。 6. 學生需於「研究計畫寫作」課程 (課號：GA2002) 中提出專題計畫書，並於畢業前參與專題成果發表會， 由學士班班務委員會檢視學生學習 成效。 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,
