科學 能力 必修 課群 (各類 課程 至少 各修習 一門),數學課程,應用數學 GP2019 / GP2020 / AP2007 / AP2008 / SS2005 / SS2006
,,時序分析 GP3052
,,數值分析 GP3053
,,統計學 GP3072
,,地球科學資料處理 GP4024
,,向量分析 AP1006/GP1014
,,數據分析與處理 AP4011 (108學年度入學適用) / SS3001
,,應地數學 AG7002
,,應用數學方法/II HS6017 / HS6030
,,應用數值方法 HS6048
,,資料分析 HS6074
,電腦與程式語言課程,基礎程式語言 GA1002
,,程式語言與應用 GP 1017
,,程式語言C系列 GP2035
,,程式語言Fortran系列 GP2057
,,程式語言與繪圖/Ⅰ/Ⅱ AP1013 / AP2049 / AP2050
,,程式語言與繪圖 SS1003
,,IDL程式語言I SS2012
,,MATLAB程式設計與應用 AP4012
,,科學計算 HS6091
,物理與化學課程,普物實驗 PH1003 / PH1004
,,普通化學 CM1009 / CM1010
,,普化實驗 CM1008
,,流體力學 AP2010
,,熱力學 AP2013 (108學年度入學適用)
,,力學 SS2001 /GP2002
,,電磁學/I/II GP2014/ SS2003 / SS2004
,,流體力學概論 GP3096
,,流體動力學 HS6033
跨域 知識 技能 課群,地球科學研究群專題課程,地球科學專題 (I)/(II) GP4087 / GP4088
,,水文與海洋專題 (I)/(II) GP4089 / GP4090
,,太空科學專題 I / II SS2031、SS2032
,,大氣科學專題 I / II AP2101、AP2102
