科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
共同必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
院訂必修,微積分 MA1003 / MA1004,,3,3,,,,,,
,普通物理A PH1031 / PH1032,,3,3,,,,,,
系訂必修,工程實習 SS1001,,1,,,,,,,
,太空科學與工程導論 SS1002,,2,,,,,,,
,普物實驗 PH1004,,,1,,,,,,
,程式語言與繪圖 SS1003,,,2,,,,,,
,力學 SS2001,,,,3,,,,,
,電磁學 I / II SS2003 / SS2004,,,,3,3,,,,
,應用數學 I / II SS2005 / SS2006,,,,3,3,,,,
,太空專題 I / II SS2007 / SS2008,,,,1,1,,,,
,數據分析與處理 SS3001,,,,,,3,,,
,太空科學類 (四擇二),電漿物理導論 SS3002,,,,,3,,,
,,太陽物理 SS3003,,,,,3,,,
,,磁層物理 SS3004,,,,,,3,,
,,電離層物理 SS3005,,,,,,3,,
,太空工程類 (四擇二),太空酬載 I SS3006,,,,,3,,,
,,衛星系統工程 I SS3008,,,,,3,,,
,,雷達工程與實務 SS3010,,,,,,3,,
,,遙測影像分析與應用 SS3011,,,,,,3,,
備註,一、共同必修 1. 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2. 本系新生外文課程：可自由依國立中央大學共同必修科目選修辦法第四條規定之三款擇定其一修讀。 (1)修讀「大一英文」科學課群6學分。 (2)修讀英文系開設之其他英文課程，通過且取得6學分。 (3)修讀語言中心開設或認定之第二外語課程，但同一外語課程必須修讀並通過取得6學分。 3. 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4. 通識核心必修四大領域中至少須修習一個領域。 二、院、系訂必修 1. 最低畢業學分：128，包括必修科目 75 學分，同時至少選修並通過本系選修科目16學分。本校地科、理、工、資 電、生醫理工、遙測學程相關領域以外課程學分至多 12 學分計入系最低畢業學分。 2. 除第1項規定外，修業期間內必須選修「地球系統科學概論」2學分。 3. 以下必修科目必須在修習「先修課程」學期成績達50分以上，方可修習 必修科目 先修課程 力學 微積分上、下 電磁學 I 微積分上、下 三、雙主修規定：依本校「學生修讀雙主修辦法」辦理。,,,,,,,,,
