文學院學士班應修科目表（114學年度入學新生適用）,,,,,,,,,,,
科目,課名及課號,,,學分數,,,,,,,
,,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,,上,下,上,下,上,下,上,下
共 同 必 修,國文,,,5,,,,,,,
,外文,,,3,3,,,,,,
,體育課程,,,0,0,0,0,0,,,
,服務學習課程,,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,,14,,,,,,,
基 礎 課 程,12 學 分,哲學概論 PD1101,,3,,,,,,,
,,史學導論 HI1901,,3,,,,,,,
,,藝術與視覺文化導論 AR1001,,3,,,,,,,
,,影像與敘事分析 IL1003,,3,,,,,,,
,,人文與科技發展 IL1002,,3,,,,,,,
,54 學 分,「哲學 思維與 經典詮 釋」主 修課群,哲思方法 PD2203,3,,,,,,,
,,,中國思想史 PD2304,3,,,,,,,
,,,形上學 PD2202,3,,,,,,,
,,,西方哲學史 PD4401,,,,,3,,,
,,,當代西方思潮 PD4402,,,,,3,,,
,,,現象學與詮釋學 PD4406,,,,,3,,,
,,,中國哲學經典詮釋 PD4360,,,,,3,,,
,,,西方哲學經典詮釋 IL4102,,,,,3,,,
,,,宗教哲學與生命教育 PD4150,,,,,3,,,
,,,AI、倫理學與實踐哲學 PD4151,,,,,3,,,
,,,哲學人類學與數位科技 IL4101,,,,,3,,,
,,,人本AI的東方觀點 PD4153,,,,,3,,,
,,,人文應用專題：哲學裡的實境遊戲 PD4101,,,,,3,,,
,,「知識 傳統與 歷史應 用」主 修課群,台灣近代史 HI2901,3,,,,,,,
,,,東亞區域史 HI2902,3,,,,,,,
,,,中國近現代史 HI2903,3,,,,,,,
,,,中國的身體與醫藥文化史 HI2904,3,,,,,,,
,,,中國思想史 PD2304,3,,,,,,,
,,,1949來台移民社會史 IL2201,3,,,,,,,
,,,數位人文與歷史學 IL2202,3,,,,,,,
,,,博物館歷史學 HI4904,,,,,3,,,
,,,臺灣社會經濟史 HI4908,,,,,3,,,
,,,台灣史與東亞史的交錯 IL4201,,,,,3,,,
,,,人文應用專題：歷史學微策展 HI4909,,,,,3,,,
,,,人文應用專題：公眾史學的理論與實作 HI4910,,,,,3,,,
,,,人文應用專題：歷史導覽 IL4202,,,,,3,,,
,,,近代西方藝術 AR2002,3,,,,,,,
,,,攝影與文化 AR2004,3,,,,,,,
,,,中國繪畫史 AR2005,3,,,,,,,
,,,當代藝術思潮 AR4004,3,,,,,,,
,,,亞洲藝術專題 AR4001,,,,,3,,,
,,,藝術與社會 AR4002,,,,,3,,,
,,,亞洲藝術交流與比較 AR4003,,,,,3,,,
,,,藝術的跨域實驗 AR4005,,,,,3,,,
,,,藝術理論與批評 AR4006,,,,,3,,,
