工學院學士班 智慧機械 專長領域應修科目表(114學年度入學新生適用-附表1）,,,,,,,,,,,,
科目,課名及課號,,,,學分數,,,,,,,
,,,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,,,上,下,上,下,上,下,上,下
領域必 修科目 (34),靜力與材料力學 ME1006,,,,,4,,,,,,
,製造工程實習 I ME1041,,,,,,1,,,,,
,機械製圖 ME2037,,,,,,1,,,,,
,微控制器 ME1018,,,,,,,3,,,,
,量測實驗 ME3096,,,,,,,1,,,,
,工程數學 I ME2001 / CI2017 / CH2009,,,,,,3,,,,,
,製造工程實習 II ME1042,,,,,,,1,,,,
,機械製圖 ME2038,,,,,,,1,,,,
,電路及電子學 ME2065,,,,,,,3,,,,
,電路及電子實驗 ME2066,,,,,,,1,,,,
,工程數學 II ME2002 / CI2018 / CH2010,,,,,,,3,,,,
,精密機械製造(I) ME2056,,,,,,,3,,,,
,智慧製造實作與專題 (I) ME5205,,,,,,,,3,,,
,智慧製造技術 ME5202,,,,,,,,,3,,
,智慧製造實作與專題 (II) ME5206,,,,,,,,,3,,
,,智 慧 機 電 控 制 (21 ),機械進階 課程五選 二(6),機構學 ME2035,,,3,,,,,
,,,,材料科學 ME2051,,,3,,,,,
,,,,動力學 ME2013,,,3,,,,,
,,,,精密機械設計 (I) ME3043,,,,,3,,,
,,,,自動控制 I ME4061,,,,,3,,,
,,,控制基礎 課程六選 二(6),自動控制ⅡME4062,,,,,,3,,
,,,,光機電介面及實驗 OM6021,,,,,4,,,
,,,,感測原理 ME3056,,,,,3,,,
,,,,電腦輔助設計與製造整合 ME3063,,,,,,3,,
,,,,工業機器人原理與自動化應用 ME4202,,,,,,3,,
,,,,機電整合 ME4076,,,,,,,3,
,,,系統進階 課程四選 一(3),製造聯網技術 ME5204,,,,,3,,,
,,,,系統動態 ME3060,,,,,,3,,
,,,,人工智慧 ME5302,,,,,3,,,
,,,,機器學習 CE6102,,,,,,,3,
,,,其他選修 課程 (6),電磁及電動機 ME3054,,,,,3,,,
,,,,數位控制 ME7069,,,,,,,3,
,,,,機器動力學 ME5080,,,,,,,,3
,,,,線性系統 ME7056/EE6010,,,,,,,3,
,,,,自動化光學檢測 OM5003,,,,,,,3,
,,,,機器人學 ME6061,,,,,,,3,
,,,能源基礎 理論課程 必修(10),熱力學 (I) ME2073,,3,,,,,,
,,,,流體力學 ME3081,,,3,,,,,
,,,,熱傳學 ME3072,,,,,3,,,
,,,,熱流實驗 ME3102,,,,,1,,,
,,,能源管理 課程七選 二(6),數值分析 ME6000,,,,,3,,,
,,,,製造聯網技術 ME5204,,,,,3,,,
,,,,管理學,,,,,,3,,
,,,,能源工程 ER6011,,,,,,3,,
,,,,機器學習 CE6102,,,,,,,3,
,,,,資料科學導論 CE6143,,,,,,,3,
,,,,中等流力 II ME4084,,,,,,3,,
