科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
共同 必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
院訂 必修,微積分 MA1003 / MA1004,,3,3,,,,,,
,工程程式設計 EG1001,,3,,,,,,,
,普通物理A PH1036,,,3,,,,,,
系訂 必修,普物實驗 PH1024,,,1,,,,,,
,製造工程實習 I ME1041,,1,,,,,,,
,機械製圖 ME2037 / ME2038,,1,1,,,,,,
,靜力與材料力學 ME1006,,,4,,,,,,
,工程數學 I / II ME2001 / ME2002,,,,3,3,,,,
,機構學 ME2035,,,,3,,,,,
,電路及電子學 ME2065,,,,,3,,,,
,電路及電子實驗 ME2066,,,,,1,,,,
,動力學 ME2013,,,,3,,,,,
,材料科學 ME2051,,,,3,,,,,
,精密機械製造 I ME2056,,,,,3,,,,
,精密機械設計 I ME3043,,,,,,3,,,
,量測實驗 ME3096,,,,,,,1,,
,自動控制 I ME4061,,,,,,3,,,
,熱力學 I ME2073,,,3,,,,,,
,流體力學 ME3081,,,,,3,,,,
,畢業專題 ME4075,,,,,,,,3,
,二 擇 一,電磁學 ME3055,,,,,3,,,
,,近代物理導論 ME3053,,,,,3,,,
