工學院學士班 永續防災 專長領域應修科目表(114學年度入學新生適用-附表3）,,,,,,,,,,,
科目,課名及課號,,,學分數,,,,,,,
,,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,,上,下,上,下,上,下,上,下
領域必修科目(30),土木工程概論 CI1002,,,1,,,,,,,
,測量學 CI1009,,,3,,,,,,,
,測量實習 CI1010,,,1,,,,,,,
,應用力學 CI1005,,,,3,,,,,,
,工程材料學 CI2005,,,,3,,,,,,
,材料力學 CI2004,,,,,3,,,,,
,流體力學 CI2011,,,,,3,,,,,
,工程數學 I CI2017/ ME2001 / CH2009,,,,,3,,,,,
,空間資訊學概論 CI2027,,,,,,,3,,,
,土壤力學 I CI3003,,,,,,3,,,,
,地理資訊系統通論 CI4050,,,,,,,3,,,
,工程圖學 CI2007,,,,,,,,1,,
,,跨領域必選修 十五學分(15),結構學 I CI2019,,,,3,,,,
,,,鋼筋混凝土學 CI3005,,,,,3,,,
,,,永續發展 CC0309,,,2,,,,,
,,,環境保護 CC0308,,,2,,,,,
,,,機器學習 CE6102,,,3,,,,,
,,,基礎工程 CI3010,,,,,3,,,
,,,動力學 CI3015,,,,,3,,,
,,,水資源工程 CI3056,,,,,3,,,
,,,水文學 CI3030,,,,,3,,,
,,,運輸工程 CI3011,,,,,3,,,
,,,工程地質學 CI3040,,,,,3,,,
,,,環境工程 CI2020,,,,,3,,,
,,,工程數學 II CI2018/ ME2002 / CH2010,,,,,3,,,
,,,營建管理 CI4010,,,,,3,,,
,,,水土保持工程學 CI4045,,,,,,,3,
,,,Python程式設計 ME4301,,,3,,,,,
,,,數學規劃 CI7021,,,3,,,,,
,,,最佳化理論在土木工程之應用 CIA034,,,3,,,,,
,,,最佳化設計與管理 CIA004,,,3,,,,,
,,,運輸規劃與網路 CI7022,,,3,,,,,
,,,衛星導航通論 CI3064,,,3,,,,,
,,,永續環境管理 EN6308,,,3,,,,,
,,,數位訊號處理 RS7012,,,3,,,,,
,,,資料探勘在工程上的應用 CI7103,,,3,,,,,
,,,遙測影像處理與分析 CI7059,,,3,,,,,
,,,數位地形與城市模型 CI5008,,,3,,,,,
,,,衛星測量及導航 CI5012/RS5012,,,3,,,,,
,,,雲端地理資訊系統 CI7119/RS7119,,,3,,,,,
,,,普通地質學 GP2031,2,,,,,,,
,,,普通地質實習 GP2033,1,,,,,,,
,,,土木工程實驗 I CI3036,,,,2,,,,
,,,土木工程實驗 II CI3037,,,,,2,,,
,,,軌道工程 CI3068,,,,,3,,,
,,,大氣化學與氣候變遷 ES7017,,,,,3,,,
,,,氣候變遷與地球災害概論 AP3080,,,,,,2,,
,,,環境災害學 AP3019,,,,,3,,,
,,,固體廢棄物 CI4012,,,,,3,,,
,,,工程經濟學 CI4020,,,,,3,,,
,,,環境遙測 CI4052,,,,,3,,,
,,,建築資訊模型設計 CI4109,,,,,3,,,
,,,Python資料分析 CI5019,,,,,3,,,
,,,環境影響評估 EN5005,,,,,3,,,
