理學院 理學院學士班應修科目表(114學年度入學新生適用),,,,,,,,,,,
科目,,課名及課號,,學分數,,,,,,,
,,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,,上,下,上,下,上,下,上,下
共同必修,,國文,,5,,,,,,,
,,外文,,3,3,,,,,,
,,體育課程,,0,0,0,0,0,,,
,,服務學習課程,,0,0,,,,,,
,,通識課程(含核心必修、選修科目),,14,,,,,,,
班訂必修,,微積分 MA1001 / MA1002,,4,4,,,,,,
,,跨領域書報討論 JS1001 / JS1002,,1,1,,,,,,
,,跨領域成果展示 JS4001,,,,,,,,,1
,,人工智慧程式入門 BM1011,,,3,,,,,,
,,三 擇 二 組,普通物理A PH1031 / PH1032,3,3,,,,,,
,,,普通化學 I/II CM1009/CM1010,3,3,,,,,,
,,,普通生物學 LS1013/LS1014,3,3,,,,,,
,,三 擇 一,普物實驗 PH1003,1,,,,,,,
,,,普化實驗 CM1008,1,,,,,,,
,,,普通生物學實驗 LS1003,1,,,,,,,
班訂選修,,產業實習 I JS4002,,,,,,1,,,
,,產業實習 II JS4003,,,,,,,1,,
,,產業實習 III JS4004,,,,,,,,2,
,,產業實習 IV JS4005,,,,,,,,,2
班訂跨院選修 (至少 6 學分),管理學院,企業概論 MT1021,,3,,,,,,,
,,經濟學 MT1011 / MT1012,,3 / 3,,,,,,,
,,會計學 MT1031 / MT1032,,3 / 3,,,,,,,
,,統計學 MT2041 / MT2042,,3 / 3,,,,,,,
,工學院,應用力學 CI1005,,3,,,,,,,
,,工程材料學 CI2005,,3,,,,,,,
,,動力學 ME2013,,3,,,,,,,
,,材料科學 ME2051,,3,,,,,,,
,,材料工程概論 I CH1023,,3,,,,,,,
,資電學院,電路學 I / II EE2002 / EE2011,,3 / 3,,,,,,,
,,電子學 I / II EE2001 / EE2009,,3 / 3,,,,,,,
,,計算機概論 I CE1001,,3,,,,,,,
,,通訊原理 I / II CO3007 / CO3008,,3 / 3,,,,,,,
,,訊號與系統 CO3004,,3,,,,,,,
,地科學院,大氣熱力學 AP2011,,3,,,,,,,
,,太空物理學 I / II AP3044 / AP4013,,3 / 3,,,,,,,
,,普通地質學 GP2031,,2,,,,,,,
,,地球系統科學概論 AP1010 / GP1010 / SS1010,,2,,,,,,,
,,氣候變遷與地球災害概論 AP3080,,2,,,,,,,
,,全球環境變遷 CC0213,,2,,,,,,,
,,遙測科學導論 GP2004,,2,,,,,,,
備註,一 共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本系新生外文課程可從下列三種外文課程中任選一種: (1)「大一英文」科學課群6學分。 (2) 英文系開設之其他英文課程修滿 6 學分。 (3) 語言中心開設或認定之第二外語課程，但同一外語課程必須修滿 6 學分。 3 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4 通識核心必修為四大領域中至少須修習一個領域。 二 班、專長領域必修及選修 1 最低畢業學分數為128學分。 2 以下班訂必修課程須擇二組(一組6學分，共12學分)修習並通過：普通物理A (PH1031/PH1032)、普通化學 I/II (CM1009/CM1010)、普通生物學 (LS1013/LS1014)。 3 以下班訂必修課程須擇一 (1學分)修習並通過：普通物理實驗 (PH1003)、普通化學實驗 (CM1008)、普通生物實驗 (LS1003)。 4 修業期限內必須選修並通過所屬第一與第二領域專長之必修與選修之學分需求; 第一領域專長之必修與選修學分須達 至少32-33學分，第二領域專長之必修與選修學分須達至少20學分。 5 班訂跨院選修需由管理學院、工學院、資電學院及地球科學院，擇一學院所提供之課程修習共6學分。 6 修讀英文組者須滿足： (1) 修習並通過下列班訂必修之EMI課程： ①微積分(上、下學期)； ②普通物理(上、下學期)、普通化學(下學期；上學期任選)、普通生物學(上、下學期)，以上三擇二組。 (2) 大二至大三期間(共四個學期)須累積修習並通過四門EMI課程(每學期EMI課程請詳理學院學士班官網EMI專區)。 (3) 修業期限內必須選修並通過所屬第一與第二領域專長之必修學分需求; 第一領域專長之必修學分須達至少24學分(化 學領域專長必修27-29學分)，第二領域專長之必修學分須達至少12-16學分。 三 雙主修規定 依本校「學生修讀雙主修辦法」辦理。,,,,,,,,,,
