生醫理工學院 生醫科學與工程學系應修科目表（114學年度入學新生適用）,,,,,,,,,
科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
共同 必修,國文,5,,,,,,,
,外文,3,3,,,,,,
,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程(含核心必修、選修科目),14,,,,,,,
院訂 必修,生物統計學-R語言應用 HT3001,,,,,3,,,
系訂 必修,微積分 MA1001/MA1002,4,4,,,,,,
,普通物理 PH1031,3,,,,,,,
,普通物理實驗 PH1023,1,,,,,,,
,普通化學 CM1009,3,,,,,,,
,普通化學實驗 CM1008,1,,,,,,,
,計算機概論 BM1004,3,,,,,,,
,人體生理與解剖學 BM2031,,3,,,,,,
,電子電路學 BM2012,,,3,,,,,
,電子電路學實驗 BM2013,,,,1,,,,
,工程數學(上)/(下) BM2010/BM2011,,,3,3,,,,
,醫療器材設計原理及其應用 BM2014,,,3,,,,,
,專題研究(上)/(下) BM2037/BM2038,,,,1,1,,,
,儀器分析 BM2039,,,,3,,,,
,物理化學 BM2028,,,,,3,,,
,材料科學導論 BM3006,,,,,,3,,
,統計機器學習基礎 BM3029,,,,,,3,,
,學士論文 I / II BM4003/BM4004,,,,,,0,0,
生醫 科學 組組 必修,普通生物學 BM1009,,3,,,,,,
,普通物理 PH1032,,3,,,,,,
,普通化學 CM1010,,3,,,,,,
,生物化學 BM2036,,,3,,,,,
,程式語言 BM2004,,,3,,,,,
,細胞分子生物學 BM2045,,,,2,,,,
,分子醫學 BM3032,,,,,2,,,
,數據科學導論 BM3018,,,,,3,,,
,生醫技術暨微奈米晶片設計與應用 BM3033,,,,,3,,,
醫學 工程 與資 訊科 學組 組必 修,人工智慧程式入門 BM1011,,3,,,,,,
,線性代數 BM3023,,,3,,,,,
,資料結構 BM2040,,,,3,,,,
,作業系統概論 BM2041,,,,3,,,,
,醫用物理 BM2042,,,,3,,,,
,微電子學 BM2043,,,,3,,,,
,訊號與系統 BM3027,,,,,3,,,
,微處理器與嵌入式系統 BM3028,,,,,3,,,
,演算法 BM3022,,,,,,3,,
