管理學院 資訊管理學系應修科目表 114學年度入學新生適用,,,,,,,,,,
科目,課名及課號,,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
共同 必修,國文,,5,,,,,,,
,外文,,3,3,,,,,,
,體育課程,,0,0,0,0,0,,,
,服務學習課程,,0,0,,,,,,
,通識課程(含核心必修、選修科目),,14,,,,,,,
院訂 必修,會計學 MT1031 / MT1032,,3,3,,,,,,
,企業概論 MT1021,,3,,,,,,,
,統計學 MT2041 / MT2042,,,,3,3,,,,
,經濟學 MT1011 / MT1012,,,,3,3,,,,
系訂 必修,微積分 MA1005,,3,,,,,,,
,計算機概論I IM1001,,3,,,,,,,
,程式設計 IM1023,,,3,,,,,,
,資訊管理導論 IM1018,,,3,,,,,,
,作業系統 IM2046,,,,3,,,,,
,資料與檔案結構 IM2011,,,,3,,,,,
,資料庫管理 IM2002,,,,,3,,,,
,企業資料通訊 IM3061,,,,,3,,,,
,行銷學 IM3059,,,,,,3,,,
,系統分析與設計 IM3069,,,,,,3,,,
,作業研究I IM3003,,,,,,3,,,
,組織行為 IM3070,,,,,,3,,,
,人工智慧與機器學習IM3078,,,,,,,3,,
,演算法 IM2037,,,,,,,3,,
,電子商務 IM3031,,,,,,,3,,
,資訊系統發展專題 I/Ⅱ IM3028 / IM4001,,,,,,,3,3,
,管理資訊系統 IM4048,,,,,,,,3,
備註,一、共同必修,,,,,,,,,
,1,共同科目修習及其他畢業條件，請見應修科目表注意事項。,,,,,,,,
,2,本系新生外文課程可修：大一英文管理課群6學分或英文系之其他課程，但不得以第二外語課程抵免大一英文學分。,,,,,,,,
,3,選修「進修英文」取得之學分，不列入本系之畢業學分總數。,,,,,,,,
,4,通識核心必修四大領域中至少須修習一個領域。,,,,,,,,
,二、院、系訂必修,,,,,,,,,
,1,必修科目計 100學分，最低畢業學分：128 學分。,,,,,,,,
,2,選修部份，只認定外系12學分(通識課程至多認列4學分，MT課號「企業實習」課程至多認列3學分)，其餘皆要選修本系 所開之選修課。,,,,,,,,
,3,必選課：初階程式設計(IM1013)、網頁程式設計(IM3029)、微積分(MA1006)。,,,,,,,,
,三、雙主修規定,,,,,,,,,
,1,依本校「學生修讀雙主修辦法」辦理。,,,,,,,,
,2,必選課：初階程式設計(IM1013)、網頁程式設計(IM3029)、微積分(MA1006)。,,,,,,,,
,3,抵修後學分數不足40學分者，由本系課程委員會審議。,,,,,,,,
