資訊電機學院學士班應修科目表(114學年度入學新生適用),,,,,,,,,
科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
共同必修 (25),國文,5,,,,,,,
,外文,3,3,,,,,,
,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程 (含核心必修、選修科目),14,,,,,,,
院訂必修 (25),微積分 MA1003/MA1004,3,3,,,,,,
,資電工程概論 IP1001,2,,,,,,,
,線性代數 EE1009/CO1007/CE2005,3,,,,,,,
,數位系統導論 EE2016/CO1002/CE2008,3,,,,,,,
,數位邏輯實驗/數位系統實驗 EE1006/CO1006/CE2010,1,,,,,,,
,計算機概論 I EE1003/ CO1001/CE1001,4,,,,,,,
,計算機概論實習 I EE1007/ CO1005/CE1003,,,,,,,,
,資電專題實作 (I) IP2001,,,3,,,,,
,資電專題實作 (II) IP2002,,,3,,,,,
院訂必選 (至少6學 分),電路學I EE2002/CO2001,,3,,,,,,
,工程數學─微分方程 EE1010/ CO2011,,3,,,,,,
,離散數學 CE2003,,,3,,,,,
,計算機概論II CE1002,4,,,,,,,
,計算機概論實習II CE1004,,,,,,,,
本班學生應修共同必修、院訂必修、院訂必選、專長領域應修及創意與創業學分學程，其餘學分得跨院自由 選修。 一 共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本學士班新生外文課程一律必修「大一英文」工程課群6學分。 3 選修「進修英文」取得之學分，列入本班之畢業學分總數。 4 通識核心必修改為四大領域中至少須修習一個領域。 二 院訂必修、院訂必選 備註 1 院訂必修為25學分，最低畢業學分數:128 學分。 2 本學士班同學須申請並修習通過「創意與創業學分學程」始得畢業。 院訂必選(至少6學分)：為讓大一學生探索興趣，以利後續選擇專長領域，學生須在院訂必選課程中，至 3 少選定2門課，6學分。電路學I、工程數學─微分方程為電機、通訊專長必修課程；離散數學、計算機概 論II 及計算機概論實習II為資訊、網路專長必修課程。 4 依據「本院各系等同課程對照表」，等同課程科目重複修讀者，不列入畢業學分數。 三專長領域必修及選修 專長領域應修科目詳見各附表，至少須修畢一專長領域之必選修課程。,,,,,,,,,
