科目,課名及課號,學分數,,,,,,,
,,第一學年,,第二學年,,第三學年,,第四學年,
,,上,下,上,下,上,下,上,下
共同 必修,國文,5,,,,,,,
,外文,3,3,,,,,,
,體育課程,0,0,0,0,0,,,
,服務學習課程,0,0,,,,,,
,通識課程(含核心必修、選修科目),14,,,,,,,
系訂 必修,微積分 MA1003 / MA1004,3,3,,,,,,
,普通物理A PH1031 / PH1032,3,3,,,,,,
,普物實驗 PH1003 / PH1004,1,1,,,,,,
,計算機概論 I EE1003,3,,,,,,,
,計算機概論實習 EE1007,1,,,,,,,
,數位系統導論 EE2016,3,,,,,,,
,工程數學-線性代數 EE1009,3,,,,,,,
,數位邏輯實驗 EE1006,,1,,,,,,
,工程數學-微分方程 EE1010,,3,,,,,,
,電路學 I / II EE2002 / EE2011,,3,3,,,,,
,電子學 I / II EE2001 / EE2009,,,3,3,,,,
,電子電路實驗 I / II / III EE2027 / EE2028 / EE3047,,,1,1,1,,,
,電磁學 I / II EE2004 / EE2015,,,3,3,,,,
,工程數學-複變 EE2030,,,3,,,,,
,信號與系統 EE3009,,,,3,,,,
,畢業專題 EE4044,,,,,3,,,
備註,一、 共同必修 1 共同科目修習及其他畢業條件，請見應修科目表注意事項。 2 本系新生外文課程一律必修「大一英文」工程課群6學分。 3 選修「進修英文」取得之學分，不列入本系之畢業學分總數。 4 通識核心必修四大領域中至少須修習一個領域。 二、 系訂必修 1 最低畢業學分為132學分；其中專題實作課程(課號：EE4004、EE4023、EE3045)至多採計6學分。 2 由下表電機、通訊課程流程中具有「*」記號課程，選修18學分，且須至少跨三類別之課程。 3 本系同學畢業以前須自下表電機、通訊課程流程中具有「 」記號實驗課程，選修9學分課程，且須至 少跨三類別之課程，始得畢業。 4 本系同學畢業以前須自本系或資電學院開授的課程中選修 △12 學分，始得畢業(不包含第2項之18學分 及第3項之9學分)。 5 修習畢業專題課程當學期須至「臺灣學術倫理教育資源中心」線上平台自行修習「學術倫理教育課程」 (0學分)，並通過線上課程測驗達及格標準。 6 有意抵免研究所課程學分者，請依照本系相關辦法選修研究所課程。 7 依據「中央大學資電學院各系等同課程對照表」，等同課程科目重複修讀者，不列入畢業學分數。 8 鼓勵踴躍修讀化學系開設之『普通化學』課程。 三、 雙主修規定 1 依本校「學生修讀雙主修辦法」辦理。 2 除依本校雙主修辦法之規定辦理外，並應修滿上述二、2~3 項規定之學分數後，始可取得雙主修畢業資 格。 四、 學分抵免 1 學分抵免須依據本校及本系學分抵免辦法辦理。 2 在學生：本系有開設之必修科目及「*」記號課程，選修他校或本校他系者不可抵修；如有特殊情形， 須事先申請，並經本系學術委員會審核同意後，始可選修，事後申請概不受理。 五、學業成績優異者，學業總平均成績名次在本系該年級學生數前百分之二十以內，且學業總平均成績在七十 五分以上者，經系主任及教務長核准，得於修業期限屆滿前一學期或一學年提前畢業。 六、學生當學年度限修習所屬班別的必修課程，不可跨班選修。如有違反情事，本系於選課系統逕行更正。,,,,,,,,
